year,holiday_id,hebrew_date,gregorian_date
1948,pesach,"ט""ו ניסן",1948-04-24
1948,pesach_7,"כ""א ניסן",1948-04-30
1948,yom_haatzmaut,ה' אייר,1948-05-13
1948,shavuot,ו' סיוון,1948-06-13
1948,rosh_hashana_1,א' תשרי,1948-10-04
1948,rosh_hashana_2,ב' תשרי,1948-10-05
1948,yom_kippur,י' תשרי,1948-10-13
1948,sukkot,"ט""ו תשרי",1948-10-18
1948,hoshana_raba,"כ""א תשרי",1948-10-24
1949,pesach,"ט""ו ניסן",1949-04-14
1949,pesach_7,"כ""א ניסן",1949-04-20
1949,yom_haatzmaut,ה' אייר,1949-05-04
1949,shavuot,ו' סיוון,1949-06-03
1949,rosh_hashana_1,א' תשרי,1949-09-24
1949,rosh_hashana_2,ב' תשרי,1949-09-25
1949,yom_kippur,י' תשרי,1949-10-03
1949,sukkot,"ט""ו תשרי",1949-10-08
1949,hoshana_raba,"כ""א תשרי",1949-10-14
1950,pesach,"ט""ו ניסן",1950-04-02
1950,pesach_7,"כ""א ניסן",1950-04-08
1950,yom_haatzmaut,ה' אייר,1950-04-20
1950,shavuot,ו' סיוון,1950-05-22
1950,rosh_hashana_1,א' תשרי,1950-09-12
1950,rosh_hashana_2,ב' תשרי,1950-09-13
1950,yom_kippur,י' תשרי,1950-09-21
1950,sukkot,"ט""ו תשרי",1950-09-26
1950,hoshana_raba,"כ""א תשרי",1950-10-02
1951,pesach,"ט""ו ניסן",1951-04-21
1951,pesach_7,"כ""א ניסן",1951-04-27
1951,yom_haatzmaut,ה' אייר,1951-05-10
1951,shavuot,ו' סיוון,1951-06-10
1951,rosh_hashana_1,א' תשרי,1951-10-01
1951,rosh_hashana_2,ב' תשרי,1951-10-02
1951,yom_kippur,י' תשרי,1951-10-10
1951,sukkot,"ט""ו תשרי",1951-10-15
1951,hoshana_raba,"כ""א תשרי",1951-10-21
1952,pesach,"ט""ו ניסן",1952-04-10
1952,pesach_7,"כ""א ניסן",1952-04-16
1952,yom_haatzmaut,ה' אייר,1952-04-30
1952,shavuot,ו' סיוון,1952-05-30
1952,rosh_hashana_1,א' תשרי,1952-09-20
1952,rosh_hashana_2,ב' תשרי,1952-09-21
1952,yom_kippur,י' תשרי,1952-09-29
1952,sukkot,"ט""ו תשרי",1952-10-04
1952,hoshana_raba,"כ""א תשרי",1952-10-10
1953,pesach,"ט""ו ניסן",1953-03-31
1953,pesach_7,"כ""א ניסן",1953-04-06
1953,yom_haatzmaut,ה' אייר,1953-04-21
1953,shavuot,ו' סיוון,1953-05-20
1953,rosh_hashana_1,א' תשרי,1953-09-10
1953,rosh_hashana_2,ב' תשרי,1953-09-11
1953,yom_kippur,י' תשרי,1953-09-19
1953,sukkot,"ט""ו תשרי",1953-09-24
1953,hoshana_raba,"כ""א תשרי",1953-09-30
1954,pesach,"ט""ו ניסן",1954-04-18
1954,pesach_7,"כ""א ניסן",1954-04-24
1954,yom_haatzmaut,ה' אייר,1954-05-06
1954,shavuot,ו' סיוון,1954-06-07
1954,rosh_hashana_1,א' תשרי,1954-09-28
1954,rosh_hashana_2,ב' תשרי,1954-09-29
1954,yom_kippur,י' תשרי,1954-10-07
1954,sukkot,"ט""ו תשרי",1954-10-12
1954,hoshana_raba,"כ""א תשרי",1954-10-18
1955,pesach,"ט""ו ניסן",1955-04-07
1955,pesach_7,"כ""א ניסן",1955-04-13
1955,yom_haatzmaut,ה' אייר,1955-04-27
1955,shavuot,ו' סיוון,1955-05-27
1955,rosh_hashana_1,א' תשרי,1955-09-17
1955,rosh_hashana_2,ב' תשרי,1955-09-18
1955,yom_kippur,י' תשרי,1955-09-26
1955,sukkot,"ט""ו תשרי",1955-10-01
1955,hoshana_raba,"כ""א תשרי",1955-10-07
1956,pesach,"ט""ו ניסן",1956-03-27
1956,pesach_7,"כ""א ניסן",1956-04-02
